id,codigo,name,codigo_afip,name_afip,aporte_sipa,contrib_sipa,aporte_inssjp,contrib_inssjp,aporte_os,contrib_os,aporte_fsr,contrib_fsr,contrib_aaff,contrib_fne,contrib_lrt,aporte_diferencial,aporte_especial
lsd_concepto_233,233,APORTE SOLIDARIO FOEVA 1.5%,810004,Cuota Sindical,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_203,203,Sindicato,810004,Cuota Sindical,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_219,219,CUOTA SINDICAL NO AFILIADO,810004,Cuota Sindical,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_202,202,CUOTA SINDICAL AFILIADO  2.5 %,810004,Cuota Sindical,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_245,245,DIF SEG DE VIDA FEB-MAR,810005,Seguro de Vida,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_246,246,DIF SEG DE VIDA FEB-MAR ASIMRA,810005,Seguro de Vida,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_291,291,DIF.RET.NOV SEG.VIDA Y SEP U.O.M.,810005,Seguro de Vida,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_292,292,DIF.RET.DIC SEG.VIDA Y SEP U.O.M.,810005,Seguro de Vida,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_218,218,DIF SEG DE VIDA ASIMRA ABR-MAY 2023,810005,Seguro de Vida,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_208,208,SEG.VIDA Y SEPELIO ASSIMRA,810005,Seguro de Vida,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_210,210,SEG.VIDA Y SEPELIO U.O.M.,810005,Seguro de Vida,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_231,231,SEG.VIDA Y SEPELIO SOEVA,810005,Seguro de Vida,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_243,243,APORTE RENATEA,810006,RENATEA (ex RENATRE),0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_288,288,Falta Injustificada,820000,Otros descuentos,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_404,404,EMBARGO JUDICIAL,820000,Otros descuentos,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_402,402,EMBARGO JUDICIAL,820000,Otros descuentos,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_294,294,DIF.RET.NOV SEG.VIDA ASIMRA. 2024,821000,Otros descuentos - De uso libre,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_286,286,DIF.SEG VIDA-SOEVA ABRIL 25,821000,Otros descuentos - De uso libre,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_295,295,DIF.RET.DIC SEG.VIDA ASIMRA. 2024,821000,Otros descuentos - De uso libre,0,0,0,0,0,0,0,0,0,0,0,0,0
lsd_concepto_293,293,PROGRAMA ENLAZADOS,821000,Otros descuentos - De uso libre,0,0,0,0,0,0,0,0,0,0,0,0,0
